,counts,city,size
0,3,Westlake Village,0.5
1,3,Newark,0.5
2,4,Loma Linda,0.5
3,672,San Francisco,10
4,1,Contra Costa County,0.5
5,1,Pomona,0.5
6,1,Laguna Niguel,0.5
7,204,Sacramento,6
8,1,Cypress,0.5
9,2,Channel Islands,0.5
10,27,Chico,1
11,7,Foster City,0.5
12,1,Berkeley,0.5
13,3,Orange County,0.5
14,4,Palmdale,0.5
15,2,Whittier,0.5
16,1,Vallejo,0.5
17,1,Redwood Shores,0.5
18,36,Menlo Park,2
19,2,Travis AFB,0.5
20,2,Industry,0.5
21,2,Seaside,0.5
22,1,Brea,0.5
23,1,Silicon Valley,0.5
24,4,Walnut Creek,0.5
25,1,Fresno,0.5
26,4,Hollywood,0.5
27,2,Belmont,0.5
28,2,Temecula,0.5
29,3,Visalia,0.5
30,20,Long Beach,1
31,5,San Luis Obispo,0.5
32,2,Hercules,0.5
33,1,Red Bluff,0.5
34,1,Santa Barbara,0.5
35,1,Diamond Bar,0.5
36,15,Santa Monica,1
37,4,Milpitas,0.5
38,1,Marina del Rey,0.5
39,2,Pico Rivera,0.5
40,29,Orange,1
41,6,Woodland Hills,0.5
42,2,Rosemead,0.5
43,7,San Mateo,0.5
44,3,Folsom,0.5
45,21,San Francisco Bay Area,1
46,2,Alameda,0.5
47,4,Edwards AFB,0.5
48,117,San Diego,5
49,1,Hawthorne,0.5
50,2,Camarillo,0.5
51,121,Los Angeles,5
52,1,Beale AFB,0.5
53,1,Sonora,0.5
54,6,Emeryville,0.5
55,62,San Jose,3
56,22,Burbank,1
57,1,Monrovia,0.5
58,50,Arcata,2
59,39,Sunnyvale,2
60,2,Davis,0.5
61,11,Redwood City,1
62,1,Cupertino,0.5
63,1,Playa Vista,0.5
64,2,California City,0.5
65,3,Burlingame,0.5
66,1,La Mirada,0.5
67,3,South San Francisco,0.5
68,2,Huntington Beach,0.5
69,2,Manhattan Beach,0.5
70,5,Carlsbad,0.5
71,2,Ontario,0.5
72,1,Santa Fe Springs,0.5
73,17,Santa Clara,1
74,13,Fremont,1
75,2,La Jolla,0.5
76,1,Fullerton,0.5
77,4,Cerritos,0.5
78,2,Fairfield,0.5
79,12,Pasadena,1
80,15,Santa Ana,1
81,3,Riverside,0.5
82,1,Lompoc,0.5
83,7,El Dorado Hills,0.5
84,2,San Carlos,0.5
85,2,Aliso Viejo,0.5
86,73,Mountain View,3
87,6,Watsonville,0.5
88,4,Newport Beach,0.5
89,75,California,3
90,1,Perris,0.5
91,1,Monterey Bay,0.5
92,2,Chatsworth,0.5
93,1,Greenbrae,0.5
94,1,Lake Forest,0.5
95,3,Anaheim,0.5
96,1,Livingston,0.5
97,3,Calabasas,0.5
98,3,Monterey Park,0.5
99,1,Monterey,0.5
100,2,Sonoma,0.5
101,1,Stockton,0.5
102,2,Los Angeles County,0.5
103,2,Merced,0.5
104,1,San Rafael,0.5
105,4,Costa Mesa,0.5
106,6,Pleasanton,0.5
107,2,Venice,0.5
108,1,North Hollywood,0.5
109,2,Westminster,0.5
110,1,Valencia,0.5
111,1,Newbury Park,0.5
112,5,Torrance,0.5
113,2,Culver City,0.5
114,1,Northridge,0.5
115,6,Sherman Oaks,0.5
116,1,Simi Valley,0.5
117,47,Irvine,2
118,6,El Segundo,0.5
119,14,San Ramon,1
120,1,Paso Robles,0.5
121,6,Stanford,0.5
122,49,Yuba City,2
123,4,Gardena,0.5
124,287,Palo Alto,6
125,2,Glendale,0.5
126,1,Union City,0.5
127,49,Mill Valley,2
128,5,Universal City,0.5
129,16,Kern County,1
130,89,Oakland,4
